Service,Policy Definition,Azure Security Benchmark,CIS,CCMC L3,ISO 27001,NIST SP 800-53 R4,NIST SP 800-171 R2,HIPAA HITRUST 9.2,New Zealand ISM,Link
SQL,Log connections should be enabled for PostgreSQL database servers,,4.3.4,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/PostgreSQL_EnableLogConnections_Audit.json
SQL,Long-term geo-redundant backup should be enabled for Azure SQL Databases,BR-2,,,,,,1621.09l2Organizational.1 - 09.l,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/GeoRedundant_SQLDatabase_AuditIfNotExists.json
SQL,Private endpoint connections on Azure SQL Database should be enabled,NS-3,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/SqlServer_PrivateEndpoint_Audit.json
SQL,Private endpoint should be enabled for MariaDB servers,NS-3,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/MariaDB_EnablePrivateEndPoint_Audit.json
SQL,Private endpoint should be enabled for MySQL servers,NS-3,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/MySQL_EnablePrivateEndPoint_Audit.json
SQL,Private endpoint should be enabled for PostgreSQL servers,NS-3,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/PostgreSQL_EnablePrivateEndPoint_Audit.json
SQL,Public network access on Azure SQL Database should be disabled,NS-1,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/SqlServer_PublicNetworkAccess_Audit.json
SQL,Public network access should be disabled for MariaDB servers,NS-1,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/MariaDB_DisablePublicNetworkAccess_Audit.json
SQL,Public network access should be disabled for MySQL flexible servers,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/MySQL_FlexibleServers_DisablePublicNetworkAccess_Audit.json
SQL,Public network access should be disabled for MySQL servers,NS-1,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/MySQL_DisablePublicNetworkAccess_Audit.json
SQL,Public network access should be disabled for PostgreSQL flexible servers,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/PostgreSQL_FlexibleServers_DisablePublicNetworkAccess_Audit.json
SQL,Public network access should be disabled for PostgreSQL servers,NS-1,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/PostgreSQL_DisablePublicNetworkAccess_Audit.json
SQL,SQL managed instances should use customer-managed keys to encrypt data at rest,DP-5,4.5,,,,,0304.09o3Organizational.1 - 09.o,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/SqlManagedInstance_EnsureServerTDEisEncryptedWithYourOwnKey_Audit.json
SQL,SQL servers should use customer-managed keys to encrypt data at rest,DP-5,4.5,,,,,0304.09o3Organizational.1 - 09.o,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/SqlServer_EnsureServerTDEisEncryptedWithYourOwnKey_Audit.json
SQL,Transparent Data Encryption on SQL databases should be enabled,DP-5,4.1.2,,A.10.1.1,SC-28 (1),3.13.16,0301.09o1Organizational.123 - 09.o,DM-6,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/SqlDBEncryption_Audit.json
SQL,Vulnerability Assessment settings for SQL server should contain an email address to receive scan reports,,4.2.4,,,,,,ISM-3,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/SqlServer_VulnerabilityAssessmentEmails_Audit.json
SQL,Vulnerability assessment should be enabled on SQL Managed Instance,PV-6,4.2.2,,,,,0719.10m3Organizational.5 - 10.m,ISM-3,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/VulnerabilityAssessmentOnManagedInstance_Audit.json
SQL,Vulnerability assessment should be enabled on your SQL servers,PV-6,4.2.2,,,,,0709.10m1Organizational.1 - 10.m,ISM-3,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SQL/VulnerabilityAssessmentOnServer_Audit.json
Search,Resource logs in Search services should be enabled,LT-4,5.3,,,,,1208.09aa3System.1 - 09.aa,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Search/Search_AuditDiagnosticLog_Audit.json
Security Center,A maximum of 3 owners should be designated for your subscription,PA-1,,,A.6.1.2,AC-6 (7),3.1.4,11112.01q2Organizational.67 - 01.q,AC-2,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_DesignateLessThanXOwners_Audit.json
Security Center,A vulnerability assessment solution should be enabled on your virtual machines,PV-6,,,A.12.6.1,SI-2,3.14.1,0711.10m2Organizational.23 - 10.m,ISM-3,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_ServerVulnerabilityAssessment_Audit.json
Security Center,Adaptive application controls for defining safe applications should be enabled on your machines,AM-6,,,A.12.6.2,CM-11,3.4.9,0607.10h2System.23 - 10.h,SS-4,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_AdaptiveApplicationControls_Audit.json
Security Center,Adaptive network hardening recommendations should be applied on internet facing virtual machines,NS-4,,,,SC-7,3.13.5,0859.09m1Organizational.78 - 09.m,NS-2,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_AdaptiveNetworkHardenings_Audit.json
Security Center,All network ports should be restricted on network security groups associated to your virtual machine,,,,A.13.1.1,SC-7,3.13.5,0858.09m1Organizational.4 - 09.m,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_UnprotectedEndpoints_Audit.json
Security Center,Allowlist rules in your adaptive application control policy should be updated,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_AdaptiveApplicationControlsUpdate_Audit.json
Security Center,Authorized IP ranges should be defined on Kubernetes Services,NS-4,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableIpRanges_KubernetesService_Audit.json
Security Center,Auto provisioning of the Log Analytics agent should be enabled on your subscription,LT-5,2.11,,,,,1220.09ab3System.56 - 09.ab,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_Automatic_provisioning_log_analytics_monitoring_agent.json
Security Center,Azure DDoS Protection Standard should be enabled,NS-4,,,,SC-5,,,NS-5,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableDDoSProtection_Audit.json
Security Center,Azure Defender for App Service should be enabled,IR-5,2.2,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableAdvancedThreatProtectionOnAppServices_Audit.json
Security Center,Azure Defender for Azure SQL Database servers should be enabled,IR-5,2.3,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableAdvancedDataSecurityOnSqlServers_Audit.json
Security Center,Azure Defender for Key Vault should be enabled,IR-5,2.8,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableAdvancedThreatProtectionOnKeyVaults_Audit.json
Security Center,Azure Defender for Kubernetes should be enabled,IR-5,2.6,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableAdvancedThreatProtectionOnKubernetesService_Audit.json
Security Center,Azure Defender for SQL servers on machines should be enabled,IR-5,2.4,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableAdvancedDataSecurityOnSqlServerVirtualMachines_Audit.json
Security Center,Azure Defender for Storage should be enabled,IR-5,2.5,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableAdvancedThreatProtectionOnStorageAccounts_Audit.json
Security Center,Azure Defender for container registries should be enabled,IR-5,2.7,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableAdvancedThreatProtectionOnContainerRegistry_Audit.json
Security Center,Azure Defender for servers should be enabled,ES-1,2.1,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableAdvancedThreatProtectionOnVM_Audit.json
Security Center,Deprecated accounts should be removed from your subscription,PA-3,,,A.9.2.6,AC-2,3.1.1,,AC-5,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_RemoveDeprecatedAccounts_Audit.json
Security Center,Deprecated accounts with owner permissions should be removed from your subscription,PA-3,,,A.9.2.6,AC-2,3.1.1,1147.01c2System.456 - 01.c,AC-5,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_RemoveDeprecatedAccountsWithOwnerPermissions_Audit.json
Security Center,Disk encryption should be applied on virtual machines,DP-5,7.2,,A.10.1.1,SC-28 (1),3.13.16,0302.09o2Organizational.1 - 09.o,DM-6,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_UnencryptedVMDisks_Audit.json
Security Center,Email notification for high severity alerts should be enabled,IR-2,2.14,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_Email_notification.json
Security Center,Email notification to subscription owner for high severity alerts should be enabled,IR-2,,,,,3.14.6,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_Email_notification_to_subscription_owner.json
Security Center,Endpoint protection solution should be installed on virtual machine scale sets,ES-3,,,,SI-3 (1),3.14.2,0201.09j1Organizational.124 - 09.j,DM-4,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_VmssMissingEndpointProtection_Audit.json
Security Center,External accounts with owner permissions should be removed from your subscription,PA-3,1.3,,A.9.2.5,AC-2,3.1.1,1146.01c2System.23 - 01.c,PRS-5,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_RemoveExternalAccountsWithOwnerPermissions_Audit.json
Security Center,External accounts with read permissions should be removed from your subscription,PA-3,1.3,,,AC-2,3.1.1,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_RemoveExternalAccountsReadPermissions_Audit.json
Security Center,External accounts with write permissions should be removed from your subscription,PA-3,1.3,,A.9.2.5,AC-2,3.1.1,,PRS-5,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_RemoveExternalAccountsWritePermissions_Audit.json
Security Center,Guest Configuration extension should be installed on your machines,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_GCExtOnVm.json
Security Center,IP Forwarding on your virtual machine should be disabled,NS-4,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_IPForwardingOnVirtualMachines_Audit.json
Security Center,Internet-facing virtual machines should be protected with network security groups,NS-4,,,,,3.13.5,0814.01n1Organizational.12 - 01.n,NS-2,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_NetworkSecurityGroupsOnInternetFacingVirtualMachines_Audit.json
Security Center,Kubernetes Services should be upgraded to a non-vulnerable Kubernetes version,PV-7,,,,,3.14.1,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_UpgradeVersion_KubernetesService_Audit.json
Security Center,Log Analytics agent health issues should be resolved on your machines,LT-5,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_ResolveLaHealthIssues.json
Security Center,Log Analytics agent should be installed on your virtual machine for Azure Security Center monitoring,LT-5,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_InstallLaAgentOnVm.json
Security Center,Log Analytics agent should be installed on your virtual machine scale sets for Azure Security Center monitoring,LT-5,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_InstallLaAgentOnVmss.json
Security Center,MFA should be enabled accounts with write permissions on your subscription,IM-4,1.1,,A.9.4.2,IA-2 (1),3.5.3,11110.01q1Organizational.6 - 01.q,AC-17,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableMFAForWritePermissions_Audit.json
Security Center,MFA should be enabled on accounts with owner permissions on your subscription,IM-4,1.1,,A.9.4.2,IA-2 (1),3.5.3,11109.01q1Organizational.57 - 01.q,AC-17,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableMFAForOwnerPermissions_Audit.json
Security Center,MFA should be enabled on accounts with read permissions on your subscription,IM-4,1.2,,A.9.4.2,IA-2 (2),3.5.3,11111.01q2System.4 - 01.q,AC-17,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableMFAForReadPermissions_Audit.json
Security Center,Management ports of virtual machines should be protected with just-in-time network access control,NS-4,,,,SC-7 (4) Ownership : Microsoft,,0858.09m1Organizational.4 - 09.m,AC-7,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_JITNetworkAccess_Audit.json
Security Center,Management ports should be closed on your virtual machines,NS-1,,,,,,1193.01l2Organizational.13 - 01.l,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_OpenManagementPortsOnVirtualMachines_Audit.json
Security Center,Monitor missing Endpoint Protection in Azure Security Center,ES-3,7.6,,A.12.6.1,SI-3 (1),3.14.2,0201.09j1Organizational.124 - 09.j,DM-4,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_MissingEndpointProtection_Audit.json
Security Center,Non-internet-facing virtual machines should be protected with network security groups,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_NetworkSecurityGroupsOnInternalVirtualMachines_Audit.json
Security Center,Role-Based Access Control (RBAC) should be used on Kubernetes Services,PA-7,8.5,,,,,1229.09c1Organizational.1 - 09.c,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_EnableRBAC_KubernetesService_Audit.json
Security Center,Security Center standard pricing tier should be selected,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_Standard_pricing_tier.json
Security Center,Service principals should be used to protect your subscriptions instead of management certificates,IM-2,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_UseServicePrincipalToProtectSubscriptions.json
Security Center,Subnets should be associated with a Network Security Group,NS-4,,,,,,0814.01n1Organizational.12 - 01.n,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_NetworkSecurityGroupsOnSubnets_Audit.json
Security Center,Subscriptions should have a contact email address for security issues,IR-2,2.13,,,,3.14.6,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_Security_contact_email.json
Security Center,System updates on virtual machine scale sets should be installed,PV-7,,,,SI-2,3.14.1,1202.09aa1System.1 - 09.aa,PRS-5,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_VmssMissingSystemUpdates_Audit.json
Security Center,System updates should be installed on your machines,PV-7,7.5,,A.12.6.1,SI-2,3.14.1,0201.09j1Organizational.124 - 09.j,PRS-5,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_MissingSystemUpdates_Audit.json
Security Center,There should be more than one owner assigned to your subscription,PA-1,,,A.6.1.2,AC-6 (7),3.1.4,11208.01q1Organizational.8 - 01.q,AC-2,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_DesignateMoreThanOneOwner_Audit.json
Security Center,Virtual machines' Guest Configuration extension should be deployed with system-assigned managed identity,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_GCExtOnVmWithNoSAMI.json
Security Center,Vulnerabilities in Azure Container Registry images should be remediated,PV-6,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_ContainerRegistryVulnerabilityAssessment_Audit.json
Security Center,Vulnerabilities in container security configurations should be remediated,PV-4,,,,,3.11.2,0715.10m2Organizational.8 - 10.m,ISM-3,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_ContainerBenchmark_Audit.json
Security Center,Vulnerabilities in security configuration on your machines should be remediated,PV-4,,,A.12.6.1,SI-2,3.14.1,0718.10m3Organizational.34 - 10.m,ISM-3,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_OSVulnerabilities_Audit.json
Security Center,Vulnerabilities in security configuration on your virtual machine scale sets should be remediated,PV-4,,,,SI-2,3.14.1,0717.10m3Organizational.2 - 10.m,ISM-3,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_VmssOSVulnerabilities_Audit.json
Security Center,Vulnerabilities on your SQL databases should be remediated,PV-6,,,A.12.6.1,SI-2,3.14.1,0716.10m3Organizational.1 - 10.m,ISM-3,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_SQLDbVulnerabilities_Audit.json
Security Center,[Preview]: Sensitive data in your SQL databases should be classified,DP-1,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Security%20Center/ASC_SQLDbDataClassification_Audit.json
Service Bus,Resource logs in Service Bus should be enabled,LT-4,5.3,,,,,1208.09aa3System.1 - 09.aa,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Service%20Bus/ServiceBus_AuditDiagnosticLog_Audit.json
Service Fabric,Service Fabric clusters should have the ClusterProtectionLevel property set to EncryptAndSign,DP-5,,,A.10.1.1,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Service%20Fabric/ServiceFabric_AuditClusterProtectionLevel_Audit.json
Service Fabric,Service Fabric clusters should only use Azure Active Directory for client authentication,IM-1,,,A.9.2.3,AC-2 (7),,,AC-2,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Service%20Fabric/ServiceFabric_AuditADAuth_Audit.json
SignalR,Azure SignalR Service should use private link,NS-3,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/SignalR/SignalR_PrivateEndpointEnabled_Audit.json
Storage,Secure transfer to storage accounts should be enabled,DP-4,3.1,,A.13.2.1,SC-8 (1),3.13.8,0943.09y1Organizational.1 - 09.y,DM-6,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Storage/Storage_AuditForHTTPSEnabled_Audit.json
Storage,Storage accounts should allow access from trusted Microsoft services,,3.7,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Storage/StorageAccess_TrustedMicrosoftServices_Audit.json
Storage,Storage accounts should be migrated to new Azure Resource Manager resources,AM-3,,,A.9.1.2,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Storage/Classic_AuditForClassicStorages_Audit.json
Storage,Storage accounts should have infrastructure encryption,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Storage/StorageAccountInfrastructureEncryptionEnabled_Audit.json
Storage,Storage accounts should restrict network access,NS-4,3.6,,A.13.1.1,SC-7,3.13.5,0866.09m3Organizational.1516 - 09.m,NS-2,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Storage/Storage_NetworkAcls_Audit.json
Storage,Storage accounts should restrict network access using virtual network rules,NS-1,3.6,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Storage/StorageAccountOnlyVnetRulesEnabled_Audit.json
Storage,Storage accounts should use customer-managed key for encryption,DP-5,3.9,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Storage/StorageAccountCustomerManagedKeyEnabled_Audit.json
Storage,[Preview]: Storage account public access should be disallowed,DP-2,5.1.3,,,,,,NS-2,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Storage/ASC_Storage_DisallowPublicBlobAccess_Audit.json
Stream Analytics,Azure Stream Analytics jobs should use customer-managed keys to encrypt data,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Stream%20Analytics/StreamAnalytics_CMK_Audit.json
Stream Analytics,Resource logs in Azure Stream Analytics should be enabled,LT-4,5.3,,,,,1207.09aa2System.4 - 09.aa,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Stream%20Analytics/StreamAnalytics_AuditDiagnosticLog_Audit.json
Synapse,Azure Synapse workspaces should use customer-managed keys to encrypt data at rest,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Synapse/SynapseWorkspaceCMK_Audit.json
VM Image Builder,VM Image Builder templates should use private link,NS-3,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/VM%20Image%20Builder/PrivateLinkEnabled_Audit.json
